Designator,Footprint,Quantity,Value,LCSC Part #,
"C1, C10, C11, C13, C14, C3, C7, C8",CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder,8,1uF,C5673,
"C12, C17, C4, C6, C9",805,5,10nF,C519911,
C16,CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder,1,4.7uF,C1953079,
"C18, C19",805,2,4.7uF,C913642,
C2,402,1,100nF,C309458,
C5,603,1,100nF,C519438,
"D3, D4",805,2,LED,C397047,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,C309343,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,C7501582,
"Q2, Q3",SOT-23,2,BC817,C39828,
"R10, R13",402,2,1K,C100195,
"R11, R12",805,2,1.5K,C269739,
R14,402,1,1.18k,C3016052,
R15,402,1,46.4k,C52378,
"R6, R7",805,2,10K,C60490,
"R8, R9",402,2,5.1K,C325524,
"SW1, SW2",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,2,SW_Push,C2689642,
"U3, U6, U7, U8",SOT94P279X129-5N,4,RT9167A-33GB,C113513,
U4,ESP-WROOM-02,1,ESP-WROOM-02,C81770,
U5,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24072RGT,C140288,
U9,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,C964632,
