Designator,Mid X,Mid Y,Rotation,Layer
C1,102.5,-75.76,90.0,top
C10,111.28,-92.26,90.0,top
C11,102.58,-105.08,90.0,top
C12,106.8,-108.0,180.0,top
C13,111.09,-105.21,90.0,top
C14,102.49,-84.155,90.0,top
C16,117.9,-114.4,270.0,top
C17,107.2,-119.0,270.0,top
C18,103.1,-126.4,180.0,top
C19,106.9,-115.0,0.0,top
C2,114.7,-120.6,0.0,top
C3,111.22,-75.74,90.0,top
C4,106.9,-78.7,180.0,top
C5,118.2,-120.0,90.0,top
C6,106.9,-86.9,180.0,top
C7,111.25,-83.96,90.0,top
C8,102.51,-92.29,90.0,top
C9,107.25,-94.88,180.0,top
D3,104.1,-115.2,90.0,top
D4,102.0,-115.2,90.0,top
J1,113.58,-126.3,0.0,top
J4,117.68,-87.71,0.0,top
J5,110.507787,-99.111875,90.0,top
Q2,114.73,-105.65,270.0,top
Q3,118.22,-105.63,270.0,top
R10,106.99,-122.5,0.0,top
R11,107.7,-110.9,0.0,top
R12,103.0,-110.9,0.0,top
R13,105.49,-124.01,90.0,top
R14,101.01,-123.37,90.0,top
R15,103.24,-123.9,90.0,top
R6,114.0,-110.64,90.0,top
R7,116.7,-109.3,0.0,top
R8,107.02,-124.66,180.0,top
R9,106.69,-126.8,180.0,top
SW1,117.7,-75.8,90.0,top
SW2,117.69,-98.29,90.0,top
U3,107.1,-73.98,0.0,top
U4,110.0,-63.71,0.0,top
U5,103.81,-120.52,180.0,top
U6,107.13,-82.63,0.0,top
U7,107.17,-90.58,0.0,top
U8,107.07,-103.61,0.0,top
U9,112.78,-116.7,180.0,top
